"1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)",15540
"10 Minute Barbarian",389120
"10 Minute Tower",477010
"10 Second Ninja",271670
"10 Second Ninja X",435790
"10 Years After",339240
"10,000,000",227580
"100 Chests",856260
"100 Seconds",796580
"100% Orange Juice",282800
"1000 Amps",205690
"1001 Jigsaw. Earth Chronicles",970870
"1001 Jigsaw. Home Sweet Home",970900
"1001 Jigsaw. World Tour: Australian Puzzles",970880
"1001 Jigsaw. World Tour: Great America",970910
"1001 Jigsaw. World Tour: London",970890
"1001 Spikes",260790
"100ft Robot Golf",368000
100nya,553830
"101 Ways to Die",413480
1010,761190
103,913850
1166,581810
"12 is Better Than 6",410110
"12 Labours of Hercules",342580
"12 Labours of Hercules II: The Cretan Bull",360640
"12 Labours of Hercules III: Girl Power",360650
"12 Labours of Hercules IV: Mother Nature",396800
"12 Labours of Hercules V: Kids of Hellas",491330
"12 Labours of Hercules VI: Race for Olympus",567800
"12 Labours of Hercules VII: Fleecing the Fleece",663210
"12 Orbits",529950
"123 Slaughter Me Street",405180
"123 Slaughter Me Street 2",551190
"13 Cycles",862790
140,242820
"15 Days",342990
"15 Defense",599090
"15 Seconds",856350
"150,000 B.C.",864940
"16 Bit Arena",347630
"16 Planes:Return",986770
"16bit Trader",375460
"1775: Rebellion",422610
"18 Wheels of Steel: Across America",514160
"18 Wheels of Steel: American Long Haul",12520
"18 Wheels of Steel: Convoy",514170
"18 Wheels of Steel: Extreme Trucker",33730
"18 Wheels of Steel: Extreme Trucker 2",362780
"18 Wheels of Steel: Haulin'",514180
"1812: The Invasion of Canada",555370
1849,290970
"1914: Prelude to Chaos",627950
"1917 - The Alien Invasion",470060
"1931: Scheherazade at the Library of Pergamum",334850
"1942: The Pacific Air War",347230
"1943 Berlin Blitz",513490
"1943 Deadly Desert",616750
"1943 Megami Strike",440810
"1953 - KGB Unleashed",248490
"1953: NATO vs Warsaw Pact",325470
"1954 Alcatraz",255280
"1971 : Indian Naval Front",957950
"1979 Invasion Earth",575880
"1979 Revolution: Black Friday",388320
1982,639650
"1993 Space Machine",373480
199X,355270
1bitHeart,618720
1Heart,270190
1Quest,332710
"2 Ninjas 1 Cup",576810
"2 Planets Fire and Ice",657110
"2-in-1 Fluid Intelligence",757950
"20.000 Leagues Under the Sea - Captain Nemo",821720
"200% Mixed Juice!",335190
"2017 VR",575600
"2064: Read Only Memories",330820
2084,987850
20something,582840
20XX,322110
"21 Days",607660
"21 Steps to Soul",544820
"222 Hearts",729570
"2236 A.D.",800820
"24 Hours",485580
"24 Hours 'til Rescue",444420
"28 Waves Later",444290
29,651490
"2D Mahjong Temple",685770
"2D Neon Cube",701720
2Dark,435100
"2DGameManias Taken",822550
"2MD VR Football",674850
2URVIVE,603450
"2V Hoverbike",665650
"2XL Supercross",44000
"3 Coins at School",462110
"3 Days in the Abyss",970180
